Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
27/12/2022 3:31:07 PM,"854","16.6","41","977"
27/12/2022 3:33:07 PM,"846","16.6","41","977"
27/12/2022 3:35:07 PM,"847","16.6","41","977"
27/12/2022 3:37:07 PM,"838","16.5","41","977"
27/12/2022 3:39:07 PM,"837","16.5","41","977"
27/12/2022 3:41:07 PM,"831","16.5","41","977"
27/12/2022 3:43:07 PM,"852","16.5","41","977"
27/12/2022 3:45:07 PM,"835","16.5","41","977"
27/12/2022 3:47:07 PM,"823","16.5","41","977"
27/12/2022 3:49:07 PM,"835","16.4","41","978"
27/12/2022 3:51:07 PM,"819","16.4","41","978"
27/12/2022 3:53:07 PM,"816","16.4","41","978"
27/12/2022 3:55:07 PM,"820","16.4","41","978"
27/12/2022 3:57:07 PM,"819","16.4","41","978"
27/12/2022 3:59:07 PM,"814","16.4","41","978"
27/12/2022 4:01:07 PM,"805","16.4","41","978"
27/12/2022 4:03:07 PM,"806","16.4","41","978"
27/12/2022 4:05:07 PM,"812","16.4","41","978"
27/12/2022 4:07:07 PM,"812","16.4","41","978"
27/12/2022 4:09:07 PM,"800","16.4","41","978"
27/12/2022 4:11:07 PM,"793","16.4","41","978"
27/12/2022 4:13:07 PM,"804","16.4","41","978"
27/12/2022 4:15:07 PM,"790","16.3","41","978"
27/12/2022 4:17:07 PM,"796","16.3","41","978"
27/12/2022 4:19:07 PM,"804","16.3","41","978"
27/12/2022 4:21:07 PM,"793","16.3","41","978"
27/12/2022 4:23:07 PM,"812","16.3","41","978"
27/12/2022 4:25:07 PM,"801","16.3","41","978"
27/12/2022 4:27:07 PM,"783","16.3","41","978"
27/12/2022 4:29:07 PM,"794","16.3","41","978"
27/12/2022 4:31:07 PM,"787","16.2","41","978"
27/12/2022 4:33:07 PM,"787","16.2","41","978"
27/12/2022 4:35:07 PM,"800","16.2","41","978"
27/12/2022 4:37:07 PM,"788","16.2","41","978"
27/12/2022 4:39:07 PM,"785","16.2","41","978"
27/12/2022 4:41:07 PM,"788","16.2","41","978"
27/12/2022 4:43:07 PM,"781","16.2","40","978"
