Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
27/12/2022 3:29:03 PM,"823","16.7","40","977"
27/12/2022 3:31:03 PM,"820","16.7","40","977"
27/12/2022 3:33:03 PM,"814","16.7","40","977"
27/12/2022 3:35:03 PM,"805","16.7","40","977"
27/12/2022 3:37:03 PM,"828","16.7","40","977"
27/12/2022 3:39:03 PM,"797","16.7","40","977"
27/12/2022 3:41:03 PM,"785","16.6","40","977"
27/12/2022 3:43:03 PM,"805","16.6","40","977"
27/12/2022 3:45:03 PM,"794","16.6","40","977"
27/12/2022 3:47:03 PM,"798","16.6","40","977"
27/12/2022 3:49:03 PM,"794","16.5","40","977"
27/12/2022 3:51:03 PM,"785","16.6","40","977"
27/12/2022 3:53:03 PM,"803","16.5","40","977"
27/12/2022 3:55:03 PM,"776","16.5","40","977"
27/12/2022 3:57:03 PM,"784","16.5","40","977"
27/12/2022 3:59:03 PM,"777","16.5","40","977"
27/12/2022 4:01:03 PM,"786","16.4","40","977"
27/12/2022 4:03:03 PM,"771","16.4","40","977"
27/12/2022 4:05:03 PM,"776","16.4","40","977"
27/12/2022 4:07:03 PM,"765","16.4","40","977"
27/12/2022 4:09:03 PM,"773","16.4","40","977"
27/12/2022 4:11:03 PM,"757","16.4","40","977"
27/12/2022 4:13:03 PM,"765","16.4","40","977"
27/12/2022 4:15:03 PM,"792","16.4","40","977"
27/12/2022 4:17:03 PM,"769","16.4","40","977"
27/12/2022 4:19:03 PM,"773","16.4","40","977"
27/12/2022 4:21:03 PM,"767","16.3","40","977"
27/12/2022 4:23:03 PM,"777","16.3","40","977"
27/12/2022 4:25:03 PM,"741","16.3","40","977"
27/12/2022 4:27:03 PM,"761","16.3","40","977"
27/12/2022 4:29:03 PM,"778","16.3","40","977"
27/12/2022 4:31:03 PM,"759","16.3","40","977"
27/12/2022 4:33:03 PM,"759","16.3","40","977"
27/12/2022 4:35:03 PM,"760","16.2","40","977"
27/12/2022 4:37:03 PM,"758","16.2","40","977"
27/12/2022 4:39:03 PM,"749","16.2","40","977"
27/12/2022 4:41:03 PM,"774","16.2","40","977"
27/12/2022 4:43:03 PM,"748","16.2","40","977"
27/12/2022 4:45:03 PM,"737","16.2","40","977"
27/12/2022 4:47:03 PM,"742","16.2","40","977"
27/12/2022 4:49:03 PM,"764","16.2","40","977"
27/12/2022 4:51:03 PM,"748","16.2","40","977"
27/12/2022 4:53:03 PM,"737","16.3","40","977"
27/12/2022 4:55:03 PM,"768","16.4","39","977"
27/12/2022 4:57:03 PM,"741","16.4","39","977"
27/12/2022 4:59:03 PM,"763","16.6","39","977"
27/12/2022 5:01:03 PM,"757","16.6","39","977"
27/12/2022 5:03:03 PM,"747","16.7","39","977"
27/12/2022 5:05:03 PM,"762","16.7","39","977"
27/12/2022 5:07:03 PM,"764","16.7","39","977"
27/12/2022 5:09:03 PM,"735","16.7","39","977"
27/12/2022 5:11:03 PM,"736","16.7","39","977"
27/12/2022 5:13:03 PM,"717","16.7","39","977"
