Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
27/12/2022 3:34:09 PM,"835","16.6","40","976"
27/12/2022 3:36:09 PM,"833","16.6","40","976"
27/12/2022 3:38:09 PM,"845","16.6","40","976"
27/12/2022 3:40:09 PM,"827","16.5","40","976"
27/12/2022 3:42:09 PM,"832","16.5","40","976"
27/12/2022 3:44:09 PM,"848","16.4","40","976"
27/12/2022 3:46:09 PM,"815","16.4","40","976"
27/12/2022 3:48:09 PM,"812","16.4","40","976"
27/12/2022 3:50:09 PM,"817","16.4","40","976"
27/12/2022 3:52:09 PM,"816","16.4","40","976"
27/12/2022 3:54:09 PM,"804","16.4","40","976"
27/12/2022 3:56:09 PM,"805","16.4","40","976"
27/12/2022 3:58:09 PM,"795","16.4","40","976"
27/12/2022 4:00:09 PM,"810","16.4","40","976"
27/12/2022 4:02:09 PM,"790","16.4","40","976"
27/12/2022 4:04:09 PM,"792","16.4","40","976"
27/12/2022 4:06:09 PM,"817","16.4","40","976"
27/12/2022 4:08:09 PM,"785","16.3","40","976"
27/12/2022 4:10:09 PM,"799","16.3","40","976"
27/12/2022 4:12:09 PM,"808","16.3","40","976"
27/12/2022 4:14:09 PM,"800","16.3","40","976"
27/12/2022 4:16:09 PM,"799","16.3","40","976"
27/12/2022 4:18:09 PM,"793","16.3","40","976"
27/12/2022 4:20:09 PM,"795","16.2","40","976"
27/12/2022 4:22:09 PM,"794","16.2","40","977"
27/12/2022 4:24:09 PM,"803","16.3","40","977"
27/12/2022 4:26:09 PM,"777","16.2","40","976"
27/12/2022 4:28:09 PM,"802","16.2","40","976"
27/12/2022 4:30:09 PM,"817","16.2","40","977"
27/12/2022 4:32:09 PM,"790","16.2","40","976"
27/12/2022 4:34:09 PM,"786","16.2","40","976"
27/12/2022 4:36:09 PM,"778","16.2","40","977"
27/12/2022 4:38:09 PM,"765","16.2","40","976"
27/12/2022 4:40:09 PM,"770","16.1","40","976"
