Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
27/12/2022 3:37:54 PM,"881","16.6","40","977"
27/12/2022 3:39:54 PM,"874","16.6","40","977"
27/12/2022 3:41:54 PM,"893","16.6","40","977"
27/12/2022 3:43:54 PM,"870","16.6","40","977"
27/12/2022 3:45:54 PM,"858","16.6","40","977"
27/12/2022 3:47:54 PM,"842","16.6","40","977"
27/12/2022 3:49:54 PM,"886","16.6","40","977"
27/12/2022 3:51:54 PM,"872","16.6","40","977"
27/12/2022 3:53:54 PM,"873","16.5","40","977"
27/12/2022 3:55:54 PM,"850","16.5","40","977"
27/12/2022 3:57:54 PM,"856","16.6","40","977"
27/12/2022 3:59:54 PM,"846","16.5","40","977"
27/12/2022 4:01:54 PM,"845","16.5","40","977"
27/12/2022 4:03:54 PM,"852","16.5","40","977"
27/12/2022 4:05:54 PM,"859","16.4","40","977"
27/12/2022 4:07:54 PM,"838","16.4","40","977"
27/12/2022 4:09:54 PM,"855","16.4","40","977"
27/12/2022 4:11:54 PM,"841","16.4","40","977"
27/12/2022 4:13:54 PM,"875","16.4","40","977"
27/12/2022 4:15:54 PM,"858","16.4","40","977"
27/12/2022 4:17:54 PM,"840","16.4","40","977"
27/12/2022 4:19:54 PM,"811","16.4","40","977"
27/12/2022 4:21:54 PM,"855","16.4","40","977"
27/12/2022 4:23:54 PM,"839","16.4","40","977"
27/12/2022 4:25:54 PM,"849","16.4","40","977"
27/12/2022 4:27:54 PM,"841","16.4","40","977"
27/12/2022 4:29:54 PM,"841","16.4","40","977"
27/12/2022 4:31:54 PM,"821","16.4","40","977"
27/12/2022 4:33:54 PM,"827","16.4","40","977"
27/12/2022 4:35:54 PM,"837","16.3","40","977"
27/12/2022 4:37:54 PM,"822","16.3","40","977"
27/12/2022 4:39:54 PM,"826","16.3","40","977"
27/12/2022 4:41:54 PM,"812","16.3","40","977"
27/12/2022 4:43:54 PM,"823","16.3","40","977"
27/12/2022 4:45:54 PM,"846","16.3","40","977"
27/12/2022 4:47:54 PM,"835","16.3","40","977"
27/12/2022 4:49:54 PM,"814","16.3","40","977"
27/12/2022 4:51:54 PM,"826","16.3","40","977"
27/12/2022 4:53:54 PM,"828","16.3","40","977"
27/12/2022 4:55:54 PM,"840","16.4","40","977"
27/12/2022 4:57:54 PM,"806","16.4","40","977"
27/12/2022 4:59:54 PM,"825","16.4","40","977"
27/12/2022 5:01:54 PM,"821","16.4","40","977"
27/12/2022 5:03:54 PM,"808","16.4","40","977"
27/12/2022 5:05:54 PM,"817","16.4","40","977"
27/12/2022 5:07:54 PM,"817","16.4","40","977"
27/12/2022 5:09:54 PM,"820","16.4","40","977"
27/12/2022 5:11:54 PM,"812","16.5","40","977"
27/12/2022 5:13:54 PM,"827","16.5","40","977"
27/12/2022 5:15:54 PM,"831","16.5","40","977"
27/12/2022 5:17:54 PM,"832","16.5","40","977"
27/12/2022 5:19:54 PM,"836","16.5","40","977"
27/12/2022 5:21:54 PM,"828","16.6","40","977"
27/12/2022 5:23:54 PM,"808","16.6","40","977"
27/12/2022 5:25:54 PM,"823","16.6","40","977"
27/12/2022 5:27:54 PM,"838","16.6","40","977"
27/12/2022 5:29:54 PM,"825","16.6","40","977"
27/12/2022 5:31:54 PM,"813","16.6","40","977"
27/12/2022 5:33:54 PM,"801","16.7","40","977"
27/12/2022 5:35:54 PM,"795","16.7","40","977"
27/12/2022 5:37:54 PM,"803","16.7","40","977"
27/12/2022 5:39:54 PM,"820","16.7","40","977"
27/12/2022 5:41:54 PM,"789","16.7","40","977"
27/12/2022 5:43:54 PM,"797","16.8","40","977"
27/12/2022 5:45:54 PM,"790","16.8","40","977"
27/12/2022 5:47:54 PM,"809","16.8","40","977"
27/12/2022 5:49:54 PM,"790","16.8","40","977"
27/12/2022 5:51:54 PM,"803","16.8","40","977"
27/12/2022 5:53:54 PM,"818","16.8","40","977"
27/12/2022 5:55:54 PM,"832","16.8","40","977"
27/12/2022 5:57:54 PM,"832","16.9","40","977"
27/12/2022 5:59:54 PM,"824","16.9","40","977"
27/12/2022 6:01:54 PM,"840","16.9","40","976"
27/12/2022 6:03:54 PM,"835","16.9","40","977"
27/12/2022 6:05:54 PM,"852","16.9","40","977"
27/12/2022 6:07:54 PM,"838","16.9","40","977"
27/12/2022 6:09:54 PM,"850","16.9","40","977"
27/12/2022 6:11:54 PM,"857","16.9","40","977"
27/12/2022 6:13:54 PM,"847","16.9","40","977"
27/12/2022 6:15:54 PM,"844","16.9","40","977"
27/12/2022 6:17:54 PM,"840","16.9","40","977"
27/12/2022 6:19:54 PM,"836","16.9","40","977"
27/12/2022 6:21:54 PM,"839","16.9","40","977"
27/12/2022 6:23:54 PM,"835","16.9","40","977"
27/12/2022 6:25:54 PM,"842","16.9","40","977"
27/12/2022 6:27:54 PM,"834","16.9","40","977"
27/12/2022 6:29:54 PM,"828","16.9","40","977"
27/12/2022 6:31:54 PM,"842","16.9","40","977"
27/12/2022 6:33:54 PM,"844","17.0","40","977"
27/12/2022 6:35:54 PM,"836","16.9","40","977"
27/12/2022 6:37:54 PM,"833","16.9","40","977"
27/12/2022 6:39:54 PM,"843","16.9","40","977"
27/12/2022 6:41:54 PM,"839","17.0","40","977"
27/12/2022 6:43:54 PM,"834","16.9","40","977"
27/12/2022 6:45:54 PM,"838","17.0","40","977"
27/12/2022 6:47:54 PM,"851","17.0","40","977"
27/12/2022 6:49:54 PM,"824","17.0","40","977"
27/12/2022 6:51:54 PM,"846","17.0","40","977"
