Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
27/12/2022 3:34:39 PM,"848","16.6","40","976"
27/12/2022 3:36:39 PM,"877","16.6","40","976"
27/12/2022 3:38:39 PM,"871","16.6","40","976"
27/12/2022 3:40:39 PM,"871","16.6","40","976"
27/12/2022 3:42:39 PM,"864","16.6","40","976"
27/12/2022 3:44:39 PM,"869","16.5","40","976"
27/12/2022 3:46:39 PM,"852","16.5","40","976"
27/12/2022 3:48:39 PM,"867","16.6","40","976"
27/12/2022 3:50:39 PM,"850","16.4","40","976"
27/12/2022 3:52:39 PM,"837","16.4","40","976"
27/12/2022 3:54:39 PM,"850","16.4","40","976"
27/12/2022 3:56:39 PM,"834","16.4","40","976"
27/12/2022 3:58:39 PM,"846","16.4","40","976"
27/12/2022 4:00:39 PM,"816","16.4","40","976"
27/12/2022 4:02:39 PM,"841","16.4","40","976"
27/12/2022 4:04:39 PM,"819","16.4","40","976"
27/12/2022 4:06:39 PM,"841","16.4","40","976"
27/12/2022 4:08:39 PM,"845","16.4","40","976"
27/12/2022 4:10:39 PM,"821","16.4","40","976"
27/12/2022 4:12:39 PM,"837","16.4","40","976"
27/12/2022 4:14:39 PM,"827","16.3","40","976"
27/12/2022 4:16:39 PM,"820","16.4","40","976"
27/12/2022 4:18:39 PM,"821","16.3","40","976"
27/12/2022 4:20:39 PM,"829","16.3","40","977"
27/12/2022 4:22:39 PM,"825","16.3","40","976"
27/12/2022 4:24:39 PM,"842","16.3","40","976"
27/12/2022 4:26:39 PM,"831","16.3","40","976"
27/12/2022 4:28:39 PM,"824","16.2","40","976"
27/12/2022 4:30:39 PM,"808","16.2","40","976"
27/12/2022 4:32:39 PM,"829","16.2","40","976"
27/12/2022 4:34:39 PM,"810","16.2","40","976"
27/12/2022 4:36:39 PM,"810","16.2","40","976"
27/12/2022 4:38:39 PM,"808","16.2","40","976"
27/12/2022 4:40:39 PM,"820","16.2","40","976"
27/12/2022 4:42:39 PM,"792","16.2","40","976"
27/12/2022 4:44:39 PM,"797","16.1","40","977"
27/12/2022 4:46:39 PM,"815","16.1","40","976"
27/12/2022 4:48:39 PM,"816","16.1","40","976"
27/12/2022 4:50:39 PM,"789","16.2","40","976"
27/12/2022 4:52:39 PM,"800","16.3","40","976"
27/12/2022 4:54:39 PM,"817","16.4","40","976"
27/12/2022 4:56:39 PM,"806","16.4","40","976"
27/12/2022 4:58:39 PM,"790","16.6","40","976"
27/12/2022 5:00:39 PM,"802","16.6","40","976"
27/12/2022 5:02:39 PM,"808","16.6","40","976"
27/12/2022 5:04:39 PM,"805","16.6","40","976"
27/12/2022 5:06:39 PM,"824","16.6","40","976"
27/12/2022 5:08:39 PM,"803","16.6","40","976"
27/12/2022 5:10:39 PM,"816","16.6","40","976"
27/12/2022 5:12:39 PM,"820","16.7","40","976"
27/12/2022 5:14:39 PM,"797","16.7","40","976"
27/12/2022 5:16:39 PM,"819","16.7","40","976"
27/12/2022 5:18:39 PM,"823","16.7","40","976"
27/12/2022 5:20:39 PM,"826","16.7","40","976"
27/12/2022 5:22:39 PM,"790","16.8","40","976"
27/12/2022 5:24:39 PM,"794","16.8","40","976"
27/12/2022 5:26:39 PM,"808","16.8","40","976"
27/12/2022 5:28:39 PM,"793","16.9","40","976"
27/12/2022 5:30:39 PM,"792","16.9","40","976"
27/12/2022 5:32:39 PM,"795","16.9","40","976"
27/12/2022 5:34:39 PM,"799","16.9","40","976"
27/12/2022 5:36:39 PM,"777","16.9","40","976"
27/12/2022 5:38:39 PM,"806","17.0","40","976"
27/12/2022 5:40:39 PM,"768","17.0","40","976"
27/12/2022 5:42:39 PM,"781","17.1","40","976"
27/12/2022 5:44:39 PM,"782","17.1","40","976"
27/12/2022 5:46:39 PM,"791","17.1","40","976"
27/12/2022 5:48:39 PM,"777","17.2","40","976"
27/12/2022 5:50:39 PM,"788","17.1","40","976"
27/12/2022 5:52:39 PM,"803","17.1","39","976"
27/12/2022 5:54:39 PM,"825","17.1","39","976"
27/12/2022 5:56:39 PM,"808","17.2","39","976"
27/12/2022 5:58:39 PM,"830","17.1","39","976"
27/12/2022 6:00:39 PM,"819","17.1","39","976"
27/12/2022 6:02:39 PM,"811","17.1","39","976"
27/12/2022 6:04:39 PM,"811","17.1","39","976"
27/12/2022 6:06:39 PM,"830","17.1","39","976"
27/12/2022 6:08:39 PM,"830","17.1","39","976"
27/12/2022 6:10:39 PM,"826","17.1","39","976"
27/12/2022 6:12:39 PM,"822","17.1","39","976"
27/12/2022 6:14:39 PM,"833","17.1","39","976"
27/12/2022 6:16:39 PM,"826","17.1","39","976"
27/12/2022 6:18:39 PM,"814","17.1","39","976"
27/12/2022 6:20:39 PM,"833","17.1","39","976"
27/12/2022 6:22:39 PM,"810","17.1","39","976"
27/12/2022 6:24:39 PM,"814","17.1","39","976"
27/12/2022 6:26:39 PM,"827","17.1","39","976"
27/12/2022 6:28:39 PM,"813","17.1","39","976"
27/12/2022 6:30:39 PM,"818","17.1","39","976"
