Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
27/12/2022 3:32:37 PM,"858","16.6","42","976"
27/12/2022 3:34:37 PM,"875","16.6","42","976"
27/12/2022 3:36:37 PM,"849","16.6","42","976"
27/12/2022 3:38:37 PM,"864","16.6","42","976"
27/12/2022 3:40:37 PM,"884","16.6","42","976"
27/12/2022 3:42:37 PM,"848","16.6","42","976"
27/12/2022 3:44:37 PM,"866","16.6","42","976"
27/12/2022 3:46:37 PM,"865","16.6","41","976"
27/12/2022 3:48:37 PM,"870","16.6","41","976"
27/12/2022 3:50:37 PM,"851","16.6","41","976"
27/12/2022 3:52:37 PM,"838","16.6","41","976"
27/12/2022 3:54:37 PM,"818","16.6","41","976"
27/12/2022 3:56:37 PM,"856","16.6","41","977"
27/12/2022 3:58:37 PM,"844","16.6","41","976"
27/12/2022 4:00:37 PM,"851","16.6","41","977"
27/12/2022 4:02:37 PM,"833","16.6","41","976"
27/12/2022 4:04:37 PM,"817","16.5","41","977"
27/12/2022 4:06:37 PM,"828","16.6","41","977"
27/12/2022 4:08:37 PM,"842","16.5","41","977"
27/12/2022 4:10:37 PM,"820","16.5","41","977"
27/12/2022 4:12:37 PM,"845","16.4","41","977"
27/12/2022 4:14:37 PM,"797","16.5","41","977"
27/12/2022 4:16:37 PM,"812","16.4","41","977"
27/12/2022 4:18:37 PM,"825","16.4","41","977"
27/12/2022 4:20:37 PM,"811","16.4","41","977"
27/12/2022 4:22:37 PM,"798","16.4","41","977"
27/12/2022 4:24:37 PM,"821","16.4","41","977"
27/12/2022 4:26:37 PM,"816","16.4","41","977"
27/12/2022 4:28:37 PM,"829","16.4","41","977"
27/12/2022 4:30:37 PM,"790","16.4","41","977"
27/12/2022 4:32:37 PM,"822","16.4","41","976"
27/12/2022 4:34:37 PM,"819","16.4","41","977"
27/12/2022 4:36:37 PM,"818","16.4","41","977"
27/12/2022 4:38:37 PM,"822","16.4","41","977"
27/12/2022 4:40:37 PM,"790","16.4","41","977"
27/12/2022 4:42:37 PM,"801","16.4","41","977"
27/12/2022 4:44:37 PM,"795","16.4","41","977"
27/12/2022 4:46:37 PM,"816","16.4","41","977"
27/12/2022 4:48:37 PM,"787","16.4","41","977"
27/12/2022 4:50:37 PM,"805","16.4","41","977"
27/12/2022 4:52:37 PM,"816","16.4","41","977"
27/12/2022 4:54:37 PM,"799","16.4","41","977"
27/12/2022 4:56:37 PM,"803","16.4","41","977"
27/12/2022 4:58:37 PM,"779","16.4","41","977"
27/12/2022 5:00:37 PM,"808","16.4","41","976"
27/12/2022 5:02:37 PM,"799","16.4","41","976"
27/12/2022 5:04:37 PM,"786","16.4","41","976"
27/12/2022 5:06:37 PM,"793","16.4","41","976"
27/12/2022 5:08:37 PM,"792","16.4","41","976"
27/12/2022 5:10:37 PM,"788","16.4","41","976"
27/12/2022 5:12:37 PM,"790","16.4","41","976"
27/12/2022 5:14:37 PM,"788","16.4","41","976"
27/12/2022 5:16:37 PM,"799","16.4","41","977"
27/12/2022 5:18:37 PM,"798","16.4","41","976"
27/12/2022 5:20:37 PM,"773","16.4","41","977"
27/12/2022 5:22:37 PM,"780","16.4","41","977"
27/12/2022 5:24:37 PM,"812","16.4","41","977"
27/12/2022 5:26:37 PM,"818","16.4","41","976"
27/12/2022 5:28:37 PM,"782","16.4","41","976"
27/12/2022 5:30:37 PM,"804","16.5","41","976"
27/12/2022 5:32:37 PM,"794","16.5","41","976"
27/12/2022 5:34:37 PM,"784","16.6","41","976"
27/12/2022 5:36:37 PM,"795","16.6","41","976"
27/12/2022 5:38:37 PM,"768","16.6","41","976"
27/12/2022 5:40:37 PM,"785","16.6","41","976"
27/12/2022 5:42:37 PM,"788","16.6","41","977"
27/12/2022 5:44:37 PM,"778","16.6","41","976"
27/12/2022 5:46:37 PM,"778","16.6","41","976"
27/12/2022 5:48:37 PM,"758","16.7","41","976"
27/12/2022 5:50:37 PM,"762","16.7","41","976"
27/12/2022 5:52:37 PM,"780","16.7","41","976"
27/12/2022 5:54:37 PM,"794","16.7","41","976"
27/12/2022 5:56:37 PM,"764","16.7","41","976"
27/12/2022 5:58:37 PM,"784","16.7","41","976"
27/12/2022 6:00:37 PM,"782","16.7","41","976"
27/12/2022 6:02:37 PM,"780","16.7","41","976"
27/12/2022 6:04:37 PM,"791","16.8","41","976"
27/12/2022 6:06:37 PM,"789","16.8","41","976"
27/12/2022 6:08:37 PM,"799","16.8","41","976"
27/12/2022 6:10:37 PM,"811","16.8","41","976"
27/12/2022 6:12:37 PM,"809","16.8","41","976"
