Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
27/11/2022 4:40:16 PM,"835","17.2","47","950"
27/11/2022 4:42:16 PM,"811","17.2","47","950"
27/11/2022 4:44:16 PM,"828","17.2","47","949"
27/11/2022 4:46:16 PM,"815","17.2","47","949"
27/11/2022 4:48:16 PM,"818","17.2","47","949"
27/11/2022 4:50:16 PM,"812","17.2","47","949"
27/11/2022 4:52:16 PM,"800","17.2","47","949"
27/11/2022 4:54:16 PM,"809","17.2","47","949"
27/11/2022 4:56:16 PM,"830","17.2","47","949"
27/11/2022 4:58:16 PM,"812","17.2","47","949"
27/11/2022 5:00:16 PM,"791","17.2","47","949"
27/11/2022 5:02:16 PM,"815","17.2","47","949"
27/11/2022 5:04:16 PM,"800","17.3","47","950"
27/11/2022 5:06:16 PM,"787","17.2","47","950"
27/11/2022 5:08:16 PM,"789","17.3","47","950"
27/11/2022 5:10:16 PM,"806","17.3","47","950"
27/11/2022 5:12:16 PM,"797","17.3","47","950"
27/11/2022 5:14:16 PM,"823","17.3","47","949"
27/11/2022 5:16:16 PM,"808","17.3","47","949"
27/11/2022 5:18:16 PM,"796","17.3","47","949"
27/11/2022 5:20:16 PM,"795","17.3","47","949"
27/11/2022 5:22:16 PM,"768","17.3","47","949"
27/11/2022 5:24:16 PM,"760","17.3","47","949"
27/11/2022 5:26:16 PM,"770","17.3","47","949"
27/11/2022 5:28:16 PM,"791","17.3","47","949"
27/11/2022 5:30:16 PM,"755","17.3","47","949"
27/11/2022 5:32:16 PM,"770","17.3","47","949"
27/11/2022 5:34:16 PM,"778","17.3","47","949"
27/11/2022 5:36:16 PM,"770","17.3","47","949"
27/11/2022 5:38:16 PM,"739","17.3","47","949"
27/11/2022 5:40:16 PM,"765","17.3","47","949"
27/11/2022 5:42:16 PM,"751","17.3","47","949"
27/11/2022 5:44:16 PM,"765","17.3","47","949"
27/11/2022 5:46:16 PM,"727","17.3","47","949"
27/11/2022 5:48:16 PM,"757","17.3","47","949"
27/11/2022 5:50:16 PM,"731","17.3","47","949"
27/11/2022 5:52:16 PM,"737","17.3","47","949"
27/11/2022 5:54:16 PM,"756","17.3","47","949"
27/11/2022 5:56:16 PM,"715","17.3","47","949"
27/11/2022 5:58:16 PM,"740","17.3","47","949"
27/11/2022 6:00:16 PM,"747","17.3","47","949"
27/11/2022 6:02:16 PM,"737","17.3","47","949"
27/11/2022 6:04:16 PM,"729","17.2","47","949"
27/11/2022 6:06:16 PM,"753","17.2","47","949"
27/11/2022 6:08:16 PM,"735","17.2","47","949"
27/11/2022 6:10:16 PM,"742","17.2","47","949"
27/11/2022 6:12:16 PM,"735","17.2","47","949"
27/11/2022 6:14:16 PM,"719","17.2","47","949"
27/11/2022 6:16:16 PM,"725","17.2","47","949"
27/11/2022 6:18:16 PM,"727","17.2","47","949"
27/11/2022 6:20:16 PM,"742","17.3","47","949"
27/11/2022 6:22:16 PM,"744","17.3","47","949"
27/11/2022 6:24:16 PM,"714","17.3","47","948"
27/11/2022 6:26:16 PM,"721","17.3","47","949"
27/11/2022 6:28:16 PM,"740","17.3","47","949"
27/11/2022 6:30:16 PM,"729","17.3","47","948"
27/11/2022 6:32:16 PM,"735","17.3","47","948"
27/11/2022 6:34:16 PM,"722","17.3","47","948"
27/11/2022 6:36:16 PM,"717","17.3","47","948"
27/11/2022 6:38:16 PM,"726","17.3","47","948"
27/11/2022 6:40:16 PM,"712","17.3","47","948"
27/11/2022 6:42:16 PM,"728","17.3","48","948"
27/11/2022 6:44:16 PM,"708","17.3","48","949"
27/11/2022 6:46:16 PM,"715","17.3","48","949"
27/11/2022 6:48:16 PM,"715","17.3","47","949"
27/11/2022 6:50:16 PM,"720","17.3","47","948"
27/11/2022 6:52:16 PM,"717","17.3","48","949"
27/11/2022 6:54:16 PM,"700","17.2","48","948"
27/11/2022 6:56:16 PM,"714","17.3","48","949"
27/11/2022 6:58:16 PM,"709","17.2","48","948"
27/11/2022 7:00:16 PM,"720","17.2","48","948"
27/11/2022 7:02:16 PM,"709","17.2","48","948"
27/11/2022 7:04:16 PM,"704","17.2","48","948"
27/11/2022 7:06:16 PM,"707","17.2","48","949"
27/11/2022 7:08:16 PM,"688","17.2","48","949"
27/11/2022 7:10:16 PM,"695","17.2","48","949"
27/11/2022 7:12:16 PM,"713","17.2","48","948"
27/11/2022 7:14:16 PM,"693","17.2","48","948"
27/11/2022 7:16:16 PM,"718","17.2","48","948"
27/11/2022 7:18:16 PM,"698","17.2","48","949"
27/11/2022 7:20:16 PM,"714","17.2","48","948"
27/11/2022 7:22:16 PM,"718","17.2","48","948"
27/11/2022 7:24:16 PM,"700","17.2","48","948"
27/11/2022 7:26:16 PM,"700","17.2","48","948"
27/11/2022 7:28:16 PM,"702","17.2","48","948"
27/11/2022 7:30:16 PM,"714","17.2","48","948"
27/11/2022 7:32:16 PM,"704","17.2","48","948"
27/11/2022 7:34:16 PM,"691","17.2","48","948"
27/11/2022 7:36:16 PM,"704","17.2","48","948"
27/11/2022 7:38:16 PM,"700","17.2","48","948"
27/11/2022 7:40:16 PM,"683","17.2","48","948"
27/11/2022 7:42:16 PM,"690","17.2","48","948"
27/11/2022 7:44:16 PM,"702","17.2","48","948"
27/11/2022 7:46:16 PM,"709","17.2","48","948"
27/11/2022 7:48:16 PM,"683","17.3","48","948"
27/11/2022 7:50:16 PM,"684","17.3","48","948"
27/11/2022 7:52:16 PM,"700","17.2","48","948"
27/11/2022 7:54:16 PM,"713","17.3","48","948"
27/11/2022 7:56:16 PM,"679","17.3","48","948"
27/11/2022 7:58:16 PM,"686","17.2","48","948"
27/11/2022 8:00:16 PM,"707","17.2","48","948"
27/11/2022 8:02:16 PM,"677","17.3","48","948"
27/11/2022 8:04:16 PM,"677","17.3","48","948"
27/11/2022 8:06:16 PM,"691","17.3","48","948"
27/11/2022 8:08:16 PM,"680","17.3","48","948"
27/11/2022 8:10:16 PM,"684","17.3","48","948"
27/11/2022 8:12:16 PM,"683","17.3","48","948"
27/11/2022 8:14:16 PM,"686","17.3","48","948"
27/11/2022 8:16:16 PM,"691","17.3","48","948"
27/11/2022 8:18:16 PM,"682","17.3","48","948"
27/11/2022 8:20:16 PM,"680","17.3","48","948"
27/11/2022 8:22:16 PM,"713","17.3","48","948"
27/11/2022 8:24:16 PM,"711","17.3","48","948"
27/11/2022 8:26:16 PM,"706","17.4","48","948"
27/11/2022 8:28:16 PM,"705","17.3","48","948"
27/11/2022 8:30:16 PM,"720","17.4","49","948"
27/11/2022 8:32:16 PM,"701","17.4","49","948"
27/11/2022 8:34:16 PM,"716","17.4","49","948"
27/11/2022 8:36:16 PM,"720","17.4","49","948"
27/11/2022 8:38:16 PM,"703","17.4","49","948"
27/11/2022 8:40:16 PM,"696","17.4","49","948"
27/11/2022 8:42:16 PM,"692","17.4","49","948"
27/11/2022 8:44:16 PM,"717","17.4","49","948"
27/11/2022 8:46:16 PM,"702","17.4","49","948"
27/11/2022 8:48:16 PM,"684","17.4","49","948"
27/11/2022 8:50:16 PM,"709","17.4","49","948"
27/11/2022 8:52:16 PM,"704","17.4","49","948"
27/11/2022 8:54:16 PM,"693","17.4","49","948"
27/11/2022 8:56:16 PM,"700","17.4","49","948"
27/11/2022 8:58:16 PM,"669","17.4","49","948"
27/11/2022 9:00:16 PM,"679","17.4","49","948"
27/11/2022 9:02:16 PM,"695","17.4","49","948"
27/11/2022 9:04:16 PM,"685","17.4","49","948"
27/11/2022 9:06:16 PM,"705","17.4","49","948"
27/11/2022 9:08:16 PM,"667","17.4","49","948"
27/11/2022 9:10:16 PM,"686","17.4","49","948"
