Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
27/11/2022 6:57:50 PM,"759","17.1","47","949"
27/11/2022 6:59:50 PM,"735","17.2","47","949"
27/11/2022 7:01:50 PM,"767","17.2","47","949"
27/11/2022 7:03:50 PM,"770","17.1","47","949"
27/11/2022 7:05:50 PM,"760","17.2","47","949"
27/11/2022 7:07:50 PM,"783","17.2","47","949"
27/11/2022 7:09:50 PM,"744","17.1","47","949"
27/11/2022 7:11:50 PM,"758","17.1","47","949"
27/11/2022 7:13:50 PM,"749","17.1","47","949"
27/11/2022 7:15:50 PM,"752","17.2","47","949"
27/11/2022 7:17:50 PM,"762","17.1","47","949"
27/11/2022 7:19:50 PM,"751","17.2","47","949"
27/11/2022 7:21:50 PM,"733","17.1","47","948"
27/11/2022 7:23:50 PM,"754","17.1","47","948"
27/11/2022 7:25:50 PM,"742","17.1","47","949"
27/11/2022 7:27:50 PM,"756","17.1","47","949"
27/11/2022 7:29:50 PM,"739","17.1","47","949"
27/11/2022 7:31:50 PM,"759","17.1","47","949"
27/11/2022 7:33:50 PM,"757","17.1","47","948"
27/11/2022 7:35:50 PM,"738","17.2","47","949"
27/11/2022 7:37:50 PM,"751","17.2","47","948"
27/11/2022 7:39:50 PM,"729","17.2","47","948"
27/11/2022 7:41:50 PM,"748","17.2","47","948"
27/11/2022 7:43:50 PM,"741","17.2","47","948"
27/11/2022 7:45:50 PM,"748","17.2","47","948"
27/11/2022 7:47:50 PM,"747","17.2","47","948"
27/11/2022 7:49:50 PM,"751","17.2","47","948"
27/11/2022 7:51:50 PM,"736","17.2","47","948"
27/11/2022 7:53:50 PM,"736","17.2","47","948"
27/11/2022 7:55:50 PM,"745","17.2","47","948"
27/11/2022 7:57:50 PM,"747","17.2","47","948"
27/11/2022 7:59:50 PM,"737","17.2","47","948"
27/11/2022 8:01:50 PM,"740","17.2","47","948"
27/11/2022 8:03:50 PM,"720","17.2","47","948"
27/11/2022 8:05:50 PM,"728","17.2","47","948"
27/11/2022 8:07:50 PM,"741","17.2","47","948"
27/11/2022 8:09:50 PM,"748","17.2","47","948"
27/11/2022 8:11:50 PM,"743","17.2","47","948"
27/11/2022 8:13:50 PM,"722","17.2","47","948"
27/11/2022 8:15:50 PM,"730","17.2","47","948"
27/11/2022 8:17:50 PM,"741","17.2","47","948"
27/11/2022 8:19:50 PM,"717","17.2","47","948"
27/11/2022 8:21:50 PM,"739","17.2","48","948"
27/11/2022 8:23:50 PM,"751","17.3","48","948"
27/11/2022 8:25:50 PM,"758","17.3","48","949"
27/11/2022 8:27:50 PM,"747","17.3","48","948"
27/11/2022 8:29:50 PM,"748","17.3","48","948"
27/11/2022 8:31:50 PM,"744","17.3","48","948"
27/11/2022 8:33:50 PM,"750","17.3","48","948"
27/11/2022 8:35:50 PM,"754","17.3","48","948"
27/11/2022 8:37:50 PM,"749","17.3","48","948"
27/11/2022 8:39:50 PM,"757","17.3","48","948"
27/11/2022 8:41:50 PM,"757","17.3","48","948"
27/11/2022 8:43:50 PM,"747","17.3","48","948"
27/11/2022 8:45:50 PM,"771","17.3","48","948"
27/11/2022 8:47:50 PM,"743","17.3","48","948"
27/11/2022 8:49:50 PM,"739","17.3","48","948"
27/11/2022 8:51:50 PM,"757","17.3","48","948"
27/11/2022 8:53:50 PM,"768","17.3","48","949"
27/11/2022 8:55:50 PM,"738","17.3","48","949"
27/11/2022 8:57:50 PM,"739","17.3","48","948"
27/11/2022 8:59:50 PM,"741","17.4","48","948"
27/11/2022 9:01:50 PM,"723","17.4","48","948"
27/11/2022 9:03:50 PM,"746","17.3","48","949"
27/11/2022 9:05:50 PM,"733","17.3","48","948"
27/11/2022 9:07:50 PM,"742","17.3","48","949"
27/11/2022 9:09:50 PM,"749","17.4","48","948"
27/11/2022 9:11:50 PM,"741","17.4","48","948"
27/11/2022 9:13:50 PM,"730","17.4","48","948"
27/11/2022 9:15:50 PM,"754","17.4","48","948"
27/11/2022 9:17:50 PM,"754","17.4","48","948"
27/11/2022 9:19:50 PM,"718","17.4","48","948"
27/11/2022 9:21:50 PM,"740","17.4","48","948"
27/11/2022 9:23:50 PM,"722","17.4","48","948"
27/11/2022 9:25:50 PM,"747","17.4","48","948"
27/11/2022 9:27:50 PM,"713","17.4","48","948"
27/11/2022 9:29:50 PM,"723","17.4","48","948"
27/11/2022 9:31:50 PM,"737","17.4","48","948"
27/11/2022 9:33:50 PM,"726","17.4","48","948"
27/11/2022 9:35:50 PM,"724","17.4","48","948"
27/11/2022 9:37:50 PM,"747","17.4","48","948"
27/11/2022 9:39:50 PM,"747","17.4","48","948"
27/11/2022 9:41:50 PM,"727","17.4","48","948"
27/11/2022 9:43:50 PM,"758","17.4","48","948"
27/11/2022 9:45:50 PM,"737","17.5","48","948"
27/11/2022 9:47:50 PM,"743","17.5","48","948"
27/11/2022 9:49:50 PM,"729","17.6","48","948"
27/11/2022 9:51:50 PM,"759","17.6","48","948"
27/11/2022 9:53:50 PM,"750","17.6","48","948"
27/11/2022 9:55:50 PM,"750","17.6","48","948"
27/11/2022 9:57:50 PM,"721","17.6","48","948"
