Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
27/11/2022 4:41:01 PM,"818","17.1","47","950"
27/11/2022 4:43:01 PM,"844","17.1","47","950"
27/11/2022 4:45:01 PM,"854","17.1","47","950"
27/11/2022 4:47:01 PM,"844","17.1","47","950"
27/11/2022 4:49:01 PM,"825","17.1","47","949"
27/11/2022 4:51:01 PM,"843","17.1","47","949"
27/11/2022 4:53:01 PM,"837","17.1","47","949"
27/11/2022 4:55:01 PM,"832","17.2","47","949"
27/11/2022 4:57:01 PM,"827","17.2","47","949"
27/11/2022 4:59:01 PM,"807","17.1","47","949"
27/11/2022 5:01:01 PM,"836","17.2","47","950"
27/11/2022 5:03:01 PM,"811","17.2","47","950"
27/11/2022 5:05:01 PM,"814","17.2","48","950"
27/11/2022 5:07:01 PM,"821","17.2","47","950"
27/11/2022 5:09:01 PM,"805","17.2","48","950"
27/11/2022 5:11:01 PM,"805","17.2","48","950"
27/11/2022 5:13:01 PM,"818","17.2","48","950"
27/11/2022 5:15:01 PM,"820","17.2","48","950"
27/11/2022 5:17:01 PM,"823","17.2","48","950"
27/11/2022 5:19:01 PM,"810","17.2","48","949"
27/11/2022 5:21:01 PM,"788","17.2","48","950"
27/11/2022 5:23:01 PM,"789","17.2","48","950"
27/11/2022 5:25:01 PM,"806","17.2","48","949"
27/11/2022 5:27:01 PM,"799","17.3","48","949"
27/11/2022 5:29:01 PM,"784","17.2","48","949"
27/11/2022 5:31:01 PM,"772","17.3","48","949"
27/11/2022 5:33:01 PM,"790","17.2","48","949"
27/11/2022 5:35:01 PM,"794","17.2","48","949"
27/11/2022 5:37:01 PM,"766","17.2","48","949"
27/11/2022 5:39:01 PM,"781","17.2","47","949"
27/11/2022 5:41:01 PM,"773","17.2","47","949"
27/11/2022 5:43:01 PM,"792","17.2","47","949"
27/11/2022 5:45:01 PM,"769","17.2","47","949"
27/11/2022 5:47:01 PM,"775","17.2","47","949"
27/11/2022 5:49:01 PM,"758","17.2","47","949"
27/11/2022 5:51:01 PM,"784","17.2","47","949"
27/11/2022 5:53:01 PM,"761","17.2","48","949"
27/11/2022 5:55:01 PM,"780","17.2","47","949"
27/11/2022 5:57:01 PM,"762","17.2","47","949"
27/11/2022 5:59:01 PM,"758","17.2","47","949"
27/11/2022 6:01:01 PM,"751","17.2","47","949"
27/11/2022 6:03:01 PM,"760","17.2","48","949"
27/11/2022 6:05:01 PM,"787","17.2","48","949"
27/11/2022 6:07:01 PM,"758","17.2","48","949"
27/11/2022 6:09:01 PM,"767","17.2","47","949"
27/11/2022 6:11:01 PM,"739","17.2","47","949"
27/11/2022 6:13:01 PM,"759","17.2","47","949"
27/11/2022 6:15:01 PM,"742","17.2","47","949"
27/11/2022 6:17:01 PM,"777","17.2","48","949"
27/11/2022 6:19:01 PM,"748","17.2","48","949"
27/11/2022 6:21:01 PM,"761","17.2","48","949"
27/11/2022 6:23:01 PM,"736","17.2","48","949"
