Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
06/12/2022 1:50:06 PM,"662","17.1","44","977"
06/12/2022 1:52:06 PM,"650","17.1","44","977"
06/12/2022 1:54:06 PM,"654","17.0","45","977"
06/12/2022 1:56:06 PM,"638","17.0","45","977"
06/12/2022 1:58:06 PM,"644","16.9","45","977"
06/12/2022 2:00:06 PM,"636","16.9","45","977"
06/12/2022 2:02:06 PM,"650","16.9","44","977"
06/12/2022 2:04:06 PM,"640","17.0","45","977"
06/12/2022 2:06:06 PM,"650","16.9","45","977"
06/12/2022 2:08:06 PM,"639","16.9","45","977"
06/12/2022 2:10:06 PM,"642","16.9","45","976"
06/12/2022 2:12:06 PM,"625","16.9","45","976"
06/12/2022 2:14:06 PM,"643","16.9","45","977"
06/12/2022 2:16:06 PM,"642","16.9","45","977"
06/12/2022 2:18:06 PM,"646","16.9","45","976"
06/12/2022 2:20:06 PM,"655","16.9","45","977"
06/12/2022 2:22:06 PM,"651","16.9","45","977"
06/12/2022 2:24:06 PM,"650","16.9","45","977"
06/12/2022 2:26:06 PM,"655","16.9","45","977"
06/12/2022 2:28:06 PM,"655","16.9","45","977"
06/12/2022 2:30:06 PM,"667","16.9","45","977"
06/12/2022 2:32:06 PM,"659","16.9","45","977"
06/12/2022 2:34:06 PM,"656","16.9","45","977"
06/12/2022 2:36:06 PM,"656","16.9","45","977"
06/12/2022 2:38:06 PM,"654","16.9","45","977"
06/12/2022 2:40:06 PM,"672","16.9","45","977"
06/12/2022 2:42:06 PM,"647","16.9","45","977"
06/12/2022 2:44:06 PM,"652","16.9","45","977"
06/12/2022 2:46:06 PM,"674","16.9","45","977"
06/12/2022 2:48:06 PM,"663","16.9","45","977"
06/12/2022 2:50:06 PM,"661","16.9","45","977"
06/12/2022 2:52:06 PM,"668","16.9","45","977"
06/12/2022 2:54:06 PM,"659","16.9","45","977"
06/12/2022 2:56:06 PM,"660","16.9","45","977"
06/12/2022 2:58:06 PM,"679","16.9","45","977"
06/12/2022 3:00:06 PM,"658","16.8","45","977"
06/12/2022 3:02:06 PM,"654","16.8","45","977"
06/12/2022 3:04:06 PM,"663","16.8","45","977"
06/12/2022 3:06:06 PM,"660","16.8","45","977"
06/12/2022 3:08:06 PM,"654","16.8","45","977"
06/12/2022 3:10:06 PM,"660","16.8","45","977"
06/12/2022 3:12:06 PM,"656","16.8","45","977"
06/12/2022 3:14:06 PM,"655","16.7","45","977"
06/12/2022 3:16:06 PM,"661","16.8","45","977"
06/12/2022 3:18:06 PM,"640","16.8","45","977"
06/12/2022 3:20:06 PM,"651","16.7","45","977"
06/12/2022 3:22:06 PM,"647","16.7","45","977"
06/12/2022 3:24:06 PM,"660","16.7","45","977"
06/12/2022 3:26:06 PM,"653","16.7","45","977"
06/12/2022 3:28:06 PM,"657","16.7","45","977"
06/12/2022 3:30:06 PM,"662","16.7","45","977"
06/12/2022 3:32:06 PM,"652","16.7","45","977"
06/12/2022 3:34:06 PM,"657","16.7","45","977"
06/12/2022 3:36:06 PM,"652","16.7","45","977"
06/12/2022 3:38:06 PM,"645","16.7","45","977"
06/12/2022 3:40:06 PM,"653","16.8","45","977"
06/12/2022 3:42:06 PM,"654","16.8","45","977"
06/12/2022 3:44:06 PM,"653","16.8","45","977"
06/12/2022 3:46:06 PM,"648","16.8","45","977"
06/12/2022 3:48:06 PM,"653","16.9","45","977"
06/12/2022 3:50:06 PM,"650","16.9","45","977"
06/12/2022 3:52:06 PM,"647","16.9","45","977"
06/12/2022 3:54:06 PM,"654","16.9","45","977"
06/12/2022 3:56:06 PM,"651","16.9","45","977"
06/12/2022 3:58:06 PM,"654","16.9","45","977"
06/12/2022 4:00:06 PM,"659","16.9","45","977"
06/12/2022 4:02:06 PM,"652","16.9","45","977"
06/12/2022 4:04:06 PM,"639","16.9","45","977"
06/12/2022 4:06:06 PM,"648","17.0","45","977"
06/12/2022 4:08:06 PM,"645","16.9","45","977"
06/12/2022 4:10:06 PM,"654","17.0","45","977"
06/12/2022 4:12:06 PM,"648","17.0","45","977"
06/12/2022 4:14:06 PM,"639","17.0","45","977"
06/12/2022 4:16:06 PM,"655","17.0","46","977"
06/12/2022 4:18:06 PM,"658","16.9","45","977"
06/12/2022 4:20:06 PM,"643","16.9","45","977"
06/12/2022 4:22:06 PM,"658","17.0","45","977"
06/12/2022 4:24:06 PM,"644","16.9","45","977"
06/12/2022 4:26:06 PM,"644","16.9","45","977"
06/12/2022 4:28:06 PM,"643","16.9","45","977"
06/12/2022 4:30:06 PM,"653","16.9","45","977"
06/12/2022 4:32:06 PM,"648","16.9","45","977"
06/12/2022 4:34:06 PM,"643","16.9","45","977"
06/12/2022 4:36:06 PM,"639","16.9","45","977"
06/12/2022 4:38:06 PM,"649","16.9","45","977"
06/12/2022 4:40:06 PM,"643","16.9","45","977"
06/12/2022 4:42:06 PM,"656","16.9","45","977"
06/12/2022 4:44:06 PM,"673","16.9","46","977"
06/12/2022 4:46:06 PM,"663","16.9","46","977"
06/12/2022 4:48:06 PM,"676","16.9","46","977"
06/12/2022 4:50:06 PM,"662","16.9","46","977"
06/12/2022 4:52:06 PM,"645","16.9","45","977"
06/12/2022 4:54:06 PM,"654","16.9","45","977"
06/12/2022 4:56:06 PM,"649","16.9","45","977"
06/12/2022 4:58:06 PM,"643","16.9","46","977"
06/12/2022 5:00:06 PM,"640","16.9","46","977"
06/12/2022 5:02:06 PM,"651","16.9","46","977"
06/12/2022 5:04:06 PM,"667","16.9","46","977"
06/12/2022 5:06:06 PM,"659","16.9","46","977"
06/12/2022 5:08:06 PM,"667","16.9","46","977"
06/12/2022 5:10:06 PM,"658","16.9","46","977"
06/12/2022 5:12:06 PM,"668","16.9","46","977"
06/12/2022 5:14:06 PM,"656","16.9","46","977"
