Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
06/12/2022 1:48:29 PM,"620","17.0","43","976"
06/12/2022 1:50:29 PM,"633","17.0","43","976"
06/12/2022 1:52:29 PM,"604","17.0","43","976"
06/12/2022 1:54:29 PM,"624","17.0","44","976"
06/12/2022 1:56:29 PM,"617","16.9","43","976"
06/12/2022 1:58:29 PM,"618","16.9","44","976"
06/12/2022 2:00:29 PM,"601","16.9","43","976"
06/12/2022 2:02:29 PM,"602","16.9","43","976"
06/12/2022 2:04:29 PM,"609","16.9","43","976"
06/12/2022 2:06:29 PM,"614","16.9","43","976"
06/12/2022 2:08:29 PM,"627","16.9","44","976"
06/12/2022 2:10:29 PM,"608","16.9","44","976"
06/12/2022 2:12:29 PM,"623","16.9","44","976"
06/12/2022 2:14:29 PM,"618","16.9","44","976"
06/12/2022 2:16:29 PM,"633","16.9","44","976"
06/12/2022 2:18:29 PM,"617","16.9","44","976"
06/12/2022 2:20:29 PM,"617","16.9","44","976"
06/12/2022 2:22:29 PM,"620","16.9","44","976"
06/12/2022 2:24:29 PM,"611","16.9","44","976"
06/12/2022 2:26:29 PM,"644","16.9","44","976"
06/12/2022 2:28:29 PM,"644","16.9","44","976"
06/12/2022 2:30:29 PM,"644","16.9","44","976"
06/12/2022 2:32:29 PM,"613","16.9","44","976"
06/12/2022 2:34:29 PM,"626","16.9","44","976"
06/12/2022 2:36:29 PM,"642","16.9","44","976"
06/12/2022 2:38:29 PM,"620","16.8","44","976"
06/12/2022 2:40:29 PM,"616","16.9","44","976"
06/12/2022 2:42:29 PM,"634","16.9","44","976"
06/12/2022 2:44:29 PM,"648","16.9","44","976"
06/12/2022 2:46:29 PM,"661","16.9","44","976"
06/12/2022 2:48:29 PM,"645","16.9","44","976"
06/12/2022 2:50:29 PM,"653","16.9","44","976"
06/12/2022 2:52:29 PM,"650","16.9","44","976"
06/12/2022 2:54:29 PM,"646","16.8","44","976"
06/12/2022 2:56:29 PM,"647","16.8","44","976"
06/12/2022 2:58:29 PM,"641","16.8","44","976"
06/12/2022 3:00:29 PM,"628","16.8","44","976"
06/12/2022 3:02:29 PM,"627","16.8","44","976"
06/12/2022 3:04:29 PM,"632","16.8","44","976"
06/12/2022 3:06:29 PM,"630","16.7","44","976"
06/12/2022 3:08:29 PM,"631","16.7","44","976"
06/12/2022 3:10:29 PM,"642","16.7","44","976"
06/12/2022 3:12:29 PM,"636","16.7","44","976"
